pid,label,artist,_date,location,order,layout,collection,thumbnail,full,manifest
obj1,Annie John,Jamaica Kincaid,1983,Antigua,00,items_item,items,/img/derivatives/simple/obj1/thumbnail.jpg,/img/derivatives/simple/obj1/fullwidth.jpg,/img/derivatives/iiif/obj1/manifest.json
obj2,Breath Eyes Memory,Edwidge Danticat,1994,Haiti,01,items_item,items,/img/derivatives/simple/obj2/thumbnail.jpg,/img/derivatives/simple/obj2/fullwidth.jpg,/img/derivatives/iiif/obj2/manifest.json
obj3,The Dragon Can't Dance,Earl Lovelace,1979,Trinidad,02,items_item,items,/img/derivatives/simple/obj3/thumbnail.jpg,/img/derivatives/simple/obj3/fullwidth.jpg,/img/derivatives/iiif/obj3/manifest.json
obj4,No Telephone To Heaven,Michelle Cliff,1983,Jamaica,03,items_item,items,/img/derivatives/simple/obj4/thumbnail.jpg,/img/derivatives/simple/obj4/fullwidth.jpg,/img/derivatives/iiif/obj4/manifest.json
obj5,Wide Sargasso Sea,Jean Rhys,1966,Dominica,04,items_item,items,/img/derivatives/simple/obj5/thumbnail.jpg,/img/derivatives/simple/obj5/fullwidth.jpg,/img/derivatives/iiif/obj5/manifest.json
obj6,Crossing the Mangrove,Maryse Condé,1987,Guadeloupe,05,items_item,items,/img/derivatives/simple/obj6/thumbnail.jpg,/img/derivatives/simple/obj6/fullwidth.jpg,/img/derivatives/iiif/obj6/manifest.json
obj7,Angel,Merle Collins,1987,Grenada,06,items_item,items,/img/derivatives/simple/obj7/thumbnail.jpg,/img/derivatives/simple/obj7/fullwidth.jpg,/img/derivatives/iiif/obj7/manifest.json
obj8,In the Castle of My Skin,George Lamming,1979,Barbados,07,items_item,items,/img/derivatives/simple/obj8/thumbnail.jpg,/img/derivatives/simple/obj8/fullwidth.jpg,/img/derivatives/iiif/obj8/manifest.json
obj9,Dream on Monkey Mountain,Derek Walcott,1970,St Lucia,08,items_item,items,/img/derivatives/simple/obj9/thumbnail.jpg,/img/derivatives/simple/obj9/fullwidth.jpg,/img/derivatives/iiif/obj9/manifest.json
obj10,A Tempest,Aime Cesaire,1977,Martinique,09,items_item,items,/img/derivatives/simple/obj10/thumbnail.jpg,/img/derivatives/simple/obj10/fullwidth.jpg,/img/derivatives/iiif/obj10/manifest.json
